;$FILEVERSION=1.1
;$STARTTIME=45822.7925831713
;
;   Start time: 14/06/2025 19:01:19.186.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)         9.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
     2)        10.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
     3)        10.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
     4)        11.2  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
     5)        11.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
     6)        12.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
     7)        12.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
     8)        13.5  Rx     1807F401  8  00 01 5A A8 02 A0 80 00 
     9)        14.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
    10)        14.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
    11)        15.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
    12)        15.7  Rx     1812F401  8  92 08 98 08 86 08 90 08 
    13)        16.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
    14)        16.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
    15)        17.4  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
    16)        17.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
    17)        18.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
    18)        19.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
    19)        19.5  Rx     1819F401  8  92 08 91 08 93 08 93 08 
    20)        20.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
    21)        20.6  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
    22)        21.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
    23)        21.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
    24)        22.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
    25)        23.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
    26)        23.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
    27)        24.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
    28)        24.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
    29)        25.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
    30)        25.9  Rx     182BF401  8  00 00 00 00 00 00 00 00 
    31)        26.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
    32)        27.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
    33)        59.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
    34)        60.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
    35)        60.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
    36)        61.2  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
    37)        61.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
    38)        62.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
    39)        62.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
    40)        63.5  Rx     1807F401  8  00 01 5A A8 02 A0 82 00 
    41)        64.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
    42)        64.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
    43)        65.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
    44)        65.7  Rx     1812F401  8  92 08 98 08 86 08 90 08 
    45)        66.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
    46)        66.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
    47)        67.4  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
    48)        67.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
    49)        68.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
    50)        69.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
    51)        69.5  Rx     1819F401  8  92 08 91 08 93 08 93 08 
    52)        70.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
    53)        70.6  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
    54)        71.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
    55)        71.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
    56)        72.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
    57)        73.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
    58)        73.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
    59)        74.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
    60)        74.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
    61)        75.3  Rx     182AF401  8  00 00 00 00 00 00 00 00 
    62)        75.9  Rx     182BF401  8  00 00 00 00 00 00 00 00 
    63)        76.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
    64)        77.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
    65)       109.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
    66)       110.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
    67)       110.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
    68)       111.2  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
    69)       111.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
    70)       112.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
    71)       112.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
    72)       113.5  Rx     1807F401  8  00 01 5A A8 02 A0 82 00 
    73)       114.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
    74)       114.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
    75)       115.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
    76)       115.7  Rx     1812F401  8  92 08 98 08 86 08 90 08 
    77)       116.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
    78)       116.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
    79)       117.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
    80)       118.0  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
    81)       118.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
    82)       119.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
    83)       119.6  Rx     1819F401  8  92 08 90 08 93 08 93 08 
    84)       120.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
    85)       120.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
    86)       121.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
    87)       121.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
    88)       122.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
    89)       123.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
    90)       123.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
    91)       124.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
    92)       124.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
    93)       125.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
    94)       126.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
    95)       126.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
    96)       127.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
    97)       159.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
    98)       160.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
    99)       160.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   100)       161.3  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   101)       161.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   102)       162.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   103)       163.0  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   104)       163.5  Rx     1807F401  8  00 01 5A A8 02 A0 80 00 
   105)       164.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   106)       164.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   107)       165.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   108)       165.7  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   109)       166.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   110)       166.9  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   111)       167.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   112)       168.0  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   113)       168.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   114)       169.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   115)       169.6  Rx     1819F401  8  92 08 91 08 93 08 93 08 
   116)       170.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   117)       170.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   118)       171.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   119)       171.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   120)       172.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   121)       173.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   122)       173.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   123)       174.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   124)       174.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   125)       175.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   126)       176.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   127)       176.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   128)       177.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   129)       209.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   130)       210.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   131)       210.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   132)       211.2  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   133)       211.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   134)       212.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   135)       212.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   136)       213.5  Rx     1807F401  8  00 01 5A A8 02 A0 80 00 
   137)       214.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   138)       214.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   139)       215.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   140)       215.7  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   141)       216.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   142)       216.9  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   143)       217.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   144)       217.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   145)       218.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   146)       219.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   147)       219.6  Rx     1819F401  8  92 08 91 08 93 08 93 08 
   148)       220.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   149)       220.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   150)       221.3  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   151)       221.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   152)       222.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   153)       223.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   154)       223.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   155)       224.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   156)       224.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   157)       225.3  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   158)       225.9  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   159)       226.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   160)       227.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   161)       259.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   162)       260.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   163)       260.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   164)       261.2  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
   165)       261.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   166)       262.3  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   167)       262.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   168)       263.5  Rx     1807F401  8  00 01 5A A8 02 A0 80 00 
   169)       264.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   170)       264.6  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   171)       265.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
